game,outcome,model,mean_pct,sd_pct,n_runs
PD,cooperation,Llama-3-8B,2.22,1.20,3
PD,cooperation,Llama-3-70B,0.14,0.24,3
PD,cooperation,Qwen2.5-7B-Instruct,0.00,0.00,3
PD,cooperation,Qwen3-Next-80B-A3B-Instruct,0.00,0.00,3
PD,cooperation,GLM-5.1,0.00,0.00,3
PD,cooperation,GPT-5.4,0.00,0.00,3
PD,cooperation,Gemini-3.1-Pro-Preview,3.19,0.87,3
PD,cooperation,Claude-Opus-4-6,100.00,0.00,3
PD,cooperation,Kimi-K2.6,0.00,0.00,3
PD,cooperation,Grok-4.3,0.00,0.00,3
PD,cooperation,DeepSeek-V4-Pro,0.14,0.24,3
PGG,contribution,Llama-3-8B,60.18,3.66,3
PGG,contribution,Llama-3-70B,47.39,0.54,3
PGG,contribution,Qwen2.5-7B-Instruct,3.75,2.97,3
PGG,contribution,Qwen3-Next-80B-A3B-Instruct,5.69,5.30,3
PGG,contribution,GLM-5.1,0.00,0.00,3
PGG,contribution,GPT-5.4,0.00,0.00,3
PGG,contribution,Gemini-3.1-Pro-Preview,0.00,0.00,3
PGG,contribution,Claude-Opus-4-6,0.00,0.00,3
PGG,contribution,Kimi-K2.6,0.00,0.00,3
PGG,contribution,Grok-4.3,0.00,0.00,3
PGG,contribution,DeepSeek-V4-Pro,0.00,0.00,3
TG,sender,Llama-3-8B,55.65,0.34,3
TG,sender,Llama-3-70B,54.32,0.62,3
TG,sender,Qwen2.5-7B-Instruct,46.19,1.69,3
TG,sender,Qwen3-Next-80B-A3B-Instruct,36.99,0.64,3
TG,sender,GLM-5.1,30.21,0.97,3
TG,sender,GPT-5.4,10.60,0.25,3
TG,sender,Gemini-3.1-Pro-Preview,27.68,,3
TG,sender,Claude-Opus-4-6,32.29,2.29,3
TG,sender,Kimi-K2.6,23.45,0.91,3
TG,sender,Grok-4.3,7.41,0.88,3
TG,sender,DeepSeek-V4-Pro,40.52,2.05,3
TG,receiver,Llama-3-8B,57.99,2.32,3
TG,receiver,Llama-3-70B,36.51,0.47,3
TG,receiver,Qwen2.5-7B-Instruct,37.50,2.97,3
TG,receiver,Qwen3-Next-80B-A3B-Instruct,0.24,0.30,3
TG,receiver,GLM-5.1,9.85,0.57,3
TG,receiver,GPT-5.4,0.00,0.00,3
TG,receiver,Gemini-3.1-Pro-Preview,26.16,,3
TG,receiver,Claude-Opus-4-6,31.92,0.49,3
TG,receiver,Kimi-K2.6,20.69,1.47,3
TG,receiver,Grok-4.3,0.74,0.83,3
TG,receiver,DeepSeek-V4-Pro,1.74,1.19,3
