model,game,run,source_file,round,outcome,value_pct,n_observations,observed_value_pct,value_origin,estimate_source_rounds,observed_n_observations
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,1,cooperation,12.5,24,12.5,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,2,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,3,cooperation,4.166666666666666,24,4.166666666666666,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,4,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,5,cooperation,8.333333333333332,24,8.333333333333332,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,6,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,7,cooperation,4.166666666666666,24,4.166666666666666,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,8,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,9,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,10,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,1,cooperation,8.333333333333332,24,8.333333333333332,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,2,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,3,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,4,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,5,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,6,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,7,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,8,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,9,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,10,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,1,cooperation,16.666666666666664,24,16.666666666666664,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,2,cooperation,12.5,24,12.5,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,3,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,4,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,5,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,6,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,7,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,8,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,9,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,10,cooperation,0.0,24,0.0,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,1,contribution,42.70833333333333,24,42.70833333333333,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,2,contribution,49.375,24,49.375,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,3,contribution,53.333333333333336,24,53.333333333333336,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,4,contribution,69.79166666666666,24,69.79166666666666,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,5,contribution,65.20833333333333,24,65.20833333333333,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,6,contribution,63.95833333333333,24,63.95833333333333,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,7,contribution,56.458333333333336,24,56.458333333333336,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,8,contribution,51.66666666666667,24,51.66666666666667,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,9,contribution,55.625,24,55.625,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,10,contribution,58.75,24,58.75,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,11,contribution,54.166666666666664,24,54.166666666666664,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,12,contribution,53.75,24,53.75,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,13,contribution,47.70833333333333,24,47.70833333333333,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,14,contribution,62.91666666666668,24,62.91666666666668,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,15,contribution,47.29166666666667,24,47.29166666666667,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,16,contribution,50.0,24,50.0,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,17,contribution,53.333333333333336,24,53.333333333333336,observed,,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,18,contribution,53.541666666666664,24,53.541666666666664,observed,,24
