model,game,outcome,n_runs,confirmed_mean_pct,confirmed_sd_pct,calculated_mean_pct,calculated_sd_pct,mean_difference_pp,sd_difference_pp,matches_confirmed_table
Llama 3 8B,PD,cooperation,3,2.22,1.2,2.222222222222222,1.2028130608117202,0.0022222222222216814,0.0028130608117202804,True
Llama 3 8B,PGG,contribution,3,60.18,3.66,60.180555555555564,3.661955095772855,0.0005555555555645242,0.001955095772854687,True
Llama 3 8B,TG,sender,3,55.65,0.34,55.64814814814815,0.3428427515106215,-0.0018518518518462201,0.0028427515106214662,True
Llama 3 8B,TG,receiver,3,57.99,2.32,57.99034881442288,2.322914389589204,0.00034881442287826303,0.0029143895892040916,True
Llama 3 70B,PD,cooperation,3,0.14,0.24,0.13888888888888887,0.2405626121623441,-0.001111111111111146,0.0005626121623441005,True
Llama 3 70B,PGG,contribution,3,47.39,0.54,47.388888888888886,0.5412658773652742,-0.0011111111111148375,0.0012658773652741706,True
Llama 3 70B,TG,sender,3,54.32,0.62,54.324074074074076,0.6194714327288037,0.004074074074075895,-0.000528567271196323,True
Llama 3 70B,TG,receiver,3,36.51,0.47,36.50751434680299,0.47364577307783706,-0.002485653197005888,0.003645773077837089,True
Qwen 2.5 7B,PD,cooperation,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Qwen 2.5 7B,PGG,contribution,3,3.75,2.97,3.7453703703703702,2.970415252039237,-0.004629629629629761,0.0004152520392368686,True
Qwen 2.5 7B,TG,sender,3,46.19,1.69,46.18518518518519,1.6860752635154463,-0.004814814814807278,-0.003924736484553604,True
Qwen 2.5 7B,TG,receiver,3,37.5,2.97,37.499632569077015,2.969639193087562,-0.0003674309229850792,-0.0003608069124383384,True
GLM-5.1,PD,cooperation,3,0.0,0.0,0.0,0.0,0.0,0.0,True
GLM-5.1,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
GLM-5.1,TG,sender,3,30.21,0.97,30.212962962962962,0.9743363257726579,0.0029629629629610577,0.004336325772657967,True
GLM-5.1,TG,receiver,3,9.85,0.57,9.848183794590254,0.5718720380929511,-0.001816205409745919,0.0018720380929511116,True
GPT-5.4,PD,cooperation,3,0.0,0.0,0.0,0.0,0.0,0.0,True
GPT-5.4,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
GPT-5.4,TG,sender,3,10.6,0.25,10.601851851851853,0.25051387515682744,0.0018518518518533256,0.0005138751568274369,True
GPT-5.4,TG,receiver,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Gemini 3.1 Pro,PD,cooperation,3,3.19,0.87,3.194444444444444,0.8673608331108885,0.004444444444444251,-0.0026391668891114772,True
Gemini 3.1 Pro,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Gemini 3.1 Pro,TG,sender,3,61.06,2.09,61.06481481481482,2.0894970548882883,0.004814814814814383,-0.0005029451117115613,True
Gemini 3.1 Pro,TG,receiver,3,40.82,1.78,40.81744997351569,1.779956597685463,-0.002550026484307466,-4.340231453703325e-05,True
Claude Opus 4.6,PD,cooperation,3,100.0,0.0,100.0,0.0,0.0,0.0,True
Claude Opus 4.6,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Claude Opus 4.6,TG,sender,3,32.29,2.29,32.28703703703704,2.29437270087817,-0.0029629629629610577,0.004372700878169766,True
Claude Opus 4.6,TG,receiver,3,31.92,0.49,31.92368712701916,0.48727986875943086,0.0036871270191589645,-0.0027201312405691347,True
Kimi K2.6,PD,cooperation,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Kimi K2.6,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Kimi K2.6,TG,sender,3,23.45,0.91,23.453703703703706,0.9096250301488248,0.003703703703706651,-0.0003749698511752442,True
Kimi K2.6,TG,receiver,3,20.69,1.47,20.69122124409334,1.469898854216887,0.0012212440933403457,-0.00010114578311304356,True
Grok 4.3,PD,cooperation,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Grok 4.3,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
Grok 4.3,TG,sender,3,7.41,0.88,7.407407407407408,0.8820629112619283,-0.0025925925925918136,0.0020629112619282575,True
Grok 4.3,TG,receiver,3,0.74,0.83,0.7380189686577475,0.8317836974921456,-0.0019810313422524706,0.001783697492145686,True
DeepSeek V4 Pro,PD,cooperation,3,0.14,0.24,0.13888888888888887,0.2405626121623441,-0.001111111111111146,0.0005626121623441005,True
DeepSeek V4 Pro,PGG,contribution,3,0.0,0.0,0.0,0.0,0.0,0.0,True
DeepSeek V4 Pro,TG,sender,3,40.52,2.05,40.51851851851851,2.050544442407447,-0.001481481481491187,0.0005444424074472209,True
DeepSeek V4 Pro,TG,receiver,3,1.74,1.19,1.7367889217614394,1.1947554002983853,-0.003211078238560594,0.004755400298385393,True
