model,game,run,source_file,round,outcome,value_pct,n_observations
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,1,cooperation,12.5,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,2,cooperation,0.0,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,3,cooperation,4.166666666666666,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,4,cooperation,0.0,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,5,cooperation,8.333333333333332,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,6,cooperation,0.0,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,7,cooperation,4.166666666666666,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,8,cooperation,0.0,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,9,cooperation,0.0,24
Llama 3 8B,PD,game_log1,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json,10,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,1,cooperation,8.333333333333332,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,2,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,3,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,4,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,5,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,6,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,7,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,8,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,9,cooperation,0.0,24
Llama 3 8B,PD,game_log2,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json,10,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,1,cooperation,16.666666666666664,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,2,cooperation,12.5,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,3,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,4,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,5,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,6,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,7,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,8,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,9,cooperation,0.0,24
Llama 3 8B,PD,game_log3,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json,10,cooperation,0.0,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,1,contribution,42.70833333333333,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,2,contribution,49.375,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,3,contribution,53.333333333333336,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,4,contribution,69.79166666666666,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,5,contribution,65.20833333333333,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,6,contribution,63.95833333333333,24
Llama 3 8B,PGG,game_logs1,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json,7,contribution,56.458333333333336,24
