game,outcome,mechanism,model,baseline_pp,treatment_mean_pp,treatment_sd_pp,n_runs,delta_pp,ci95_low_pp,ci95_high_pp,ci95_low_unbounded_pp,ci95_high_unbounded_pp,ci_note
PD,cooperation,reputation,GLM-5.1,0.0,6.25,1.9094065395649336,3,6.25,1.5067712080628297,10.99322879193717,1.5067712080628297,10.99322879193717,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reward,GLM-5.1,0.0,8.333333333333334,1.8162078931419474,3,8.333333333333334,3.8216228136567194,12.845043853009948,3.8216228136567194,12.845043853009948,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,punishment,GLM-5.1,0.0,1.25,0.7216878364870322,3,1.25,0.0,3.042771970706726,-0.5427719707067256,3.042771970706726,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reputation,GPT-5.4,0.0,0.1388888888888889,0.2405626121623441,3,0.1388888888888889,0.0,0.7364795457911308,-0.4587017680133531,0.7364795457911308,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reward,GPT-5.4,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,punishment,GPT-5.4,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reputation,Gemini-3.1-Pro-Preview,4.86,100.0,0.0,3,95.14,95.14,95.14,95.14,95.14,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reward,Gemini-3.1-Pro-Preview,4.86,87.77777777777779,1.048588116009824,3,82.91777777777779,80.31294049473684,85.52261506081874,80.31294049473684,85.52261506081874,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,punishment,Gemini-3.1-Pro-Preview,4.86,9.166666666666666,4.5069390943299865,3,4.306666666666666,-4.86,15.50252403531492,-6.8891907019815894,15.50252403531492,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
PD,cooperation,reputation,Claude-Opus-4-6,100.0,100.0,0.0,3,0.0,0.0,0.0,0.0,0.0,"t CI across independent treatment runs; fixed RQ1 baseline; bounded to [0,100] before differencing"
