game,outcome,mechanism,round,delta_pp,ci95_low_pp,ci95_high_pp,n_models,bootstrap_draws,method
PD,cooperation,reputation,1,24.189999999999998,2.5462962962962963,53.81999999999999,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,2,19.328888888888887,0.0,51.04222222222222,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,3,16.782592592592593,0.0,48.495925925925924,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,4,16.088148148148147,0.0,47.80148148148148,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,5,15.856666666666667,0.0,47.57,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,6,15.856666666666667,0.0,47.57,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,7,15.856666666666667,0.0,47.57,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,8,15.856666666666667,0.0,47.57,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,9,15.856666666666667,0.0,47.57,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reputation,10,15.856666666666667,0.0,47.57,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,1,39.930740740740745,9.49074074074074,72.10666666666667,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,2,32.986296296296295,4.6238425925925934,62.73186111111112,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,3,28.58814814814815,1.6203703703703702,58.102231481481475,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,4,25.578888888888887,0.6944444444444443,53.47296296296296,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,5,24.884444444444444,0.6944444444444443,52.20251851851853,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,6,25.347407407407406,0.9259259259259257,54.05726851851854,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,7,23.958518518518517,0.9259259259259257,52.08407407407407,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,8,24.884444444444444,0.46296296296296285,52.43111111111111,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,9,25.347407407407406,0.46296296296296285,55.902972222222225,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,reward,10,23.727037037037036,0.0,53.82,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,1,6.365925925925926,0.0,18.055555555555557,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,2,7.986296296296298,0.0,23.729935185185198,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,3,6.365925925925926,0.8103703703703699,16.203703703703702,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,4,7.986296296296296,0.0,21.643703703703704,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,5,6.365925925925925,0.0,17.477037037037032,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,6,4.514074074074074,0.0,12.268527777777779,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,7,6.134444444444444,0.0,17.824074074074076,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,8,7.291851851851852,-0.5785185185185187,22.222222222222218,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,9,8.912222222222223,0.46296296296296285,22.338148148148147,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PD,cooperation,punishment,10,9.838148148148148,1.1574074074074072,25.23148148148148,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,1,38.80324074074074,13.571006944444445,67.36186342592592,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,2,40.469907407407405,13.041956018518519,70.22685185185185,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,3,43.72222222222222,13.193749999999998,77.05555555555556,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,4,41.8125,8.710648148148147,75.20370370370371,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,5,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,6,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,7,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,8,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,9,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,10,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,11,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,12,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,13,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,14,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,15,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,16,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,17,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,18,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,19,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,20,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,21,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,22,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,23,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,24,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,25,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,26,40.8287037037037,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,27,41.06018518518519,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,28,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,29,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reputation,30,41.291666666666664,7.958333333333333,74.625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,1,37.96990740740741,16.38425925925926,61.951446759259255,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,2,25.041666666666668,7.581018518518518,44.73171296296296,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,3,13.513888888888891,1.1574074074074077,27.347222222222225,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,4,11.430555555555555,0.0,25.000752314814832,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,5,10.574074074074074,0.0,23.50462962962963,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,6,7.333333333333333,0.0,16.944444444444446,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,7,9.219907407407407,0.0,20.368171296296296,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,8,8.039351851851853,0.0,19.266377314814818,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,9,7.587962962962962,0.0,18.780324074074073,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,10,4.405092592592593,0.0,11.23148148148148,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,11,2.8078703703703702,0.0,9.291666666666664,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,12,1.3611111111111114,-0.027777777777777752,4.574074074074074,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,13,1.013888888888889,-0.027777777777777752,4.028472222222225,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,14,0.7824074074074076,-0.375,3.87962962962963,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,15,0.7824074074074076,-0.375,3.87962962962963,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,16,0.7824074074074076,-0.375,3.87962962962963,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,17,0.7824074074074076,-0.375,3.87962962962963,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,18,-0.2592592592592593,-0.8935185185185186,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,19,0.08796296296296287,-0.6620370370370371,1.1018518518518514,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,20,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,21,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,22,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,23,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,24,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,25,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,26,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,27,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,28,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,29,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,reward,30,-0.375,-1.125,0.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,1,41.92824074074074,12.673611111111112,74.39421296296297,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,2,49.677083333333336,16.666666666666668,83.24652777777777,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,3,49.97222222222222,16.63888888888889,83.34131944444447,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,4,49.97222222222222,16.63888888888889,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,5,50.31944444444445,16.666666666666668,83.65277777777779,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,6,49.798611111111114,16.465277777777775,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,7,51.361111111111114,16.666666666666668,84.69444444444444,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,8,49.798611111111114,16.666666666666668,83.30625,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,9,49.451388888888886,16.118055555555557,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,10,47.541666666666664,15.25,81.25,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,11,49.97222222222222,16.63888888888889,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,12,49.625,16.291666666666668,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,13,49.798611111111114,16.666666666666668,83.30555555555556,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,14,49.45138888888889,16.46527777777778,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,15,50.31944444444445,16.666666666666668,83.65277777777779,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,16,50.927083333333336,16.666666666666668,84.28862847222233,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,17,50.84027777777778,16.666666666666668,84.21267361111126,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,18,48.93055555555555,15.597222222222223,83.35000000000005,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,19,51.447916666666664,16.666666666666668,84.78125,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,20,48.75694444444445,15.770833333333334,82.6388888888889,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,21,50.75347222222222,16.666666666666668,84.09765625000004,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,22,50.666666666666664,16.666666666666668,84.0,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,23,48.583333333333336,15.25,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,24,49.451388888888886,16.118055555555554,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,25,49.45138888888889,16.46527777777778,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,26,49.53819444444445,16.20486111111111,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,27,47.541666666666664,14.208333333333334,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,28,47.888888888888886,14.555555555555555,83.33333333333333,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,29,48.236111111111114,15.25,82.98611111111111,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
PGG,contribution,punishment,30,46.5,13.513888888888888,82.6388888888889,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,1,24.856851851851854,20.789199074074073,29.11320833333334,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,2,35.08833333333333,28.840222222222224,41.714856481481476,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,3,40.31981481481482,29.61290277777778,50.09407407407408,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,4,46.29203703703703,38.92768981481482,53.15368055555555,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,5,60.04203703703704,50.936694444444456,67.89206481481482,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,6,58.14388888888889,47.18611111111111,66.92278703703704,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,7,62.819814814814826,53.3856388888889,69.33186574074074,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,8,65.96796296296297,56.704944444444436,74.42114814814816,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,9,66.8938888888889,57.413754629629636,74.21709259259259,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,10,69.99574074074074,62.69144444444444,77.43636574074074,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,11,71.75500000000001,64.81925462962963,78.30803240740742,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,12,72.63462962962963,64.03035185185185,80.9685324074074,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,13,75.69018518518519,69.14895370370371,82.2535462962963,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,14,76.6624074074074,70.81208796296296,82.78777777777778,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,15,76.6161111111111,69.15897222222222,84.34119444444445,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,16,75.505,68.57320833333334,82.38407407407408,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,17,76.47722222222222,70.6156388888889,82.54202314814815,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,18,80.18092592592593,73.74681944444444,87.25778703703706,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,19,76.8938888888889,71.27925925925923,82.77422685185185,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,20,78.69944444444445,72.24696759259258,85.76031944444445,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,21,77.68092592592592,71.10484259259259,84.87074074074074,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,22,78.14388888888888,71.56237037037036,84.99085185185186,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,23,79.67166666666667,73.2758101851852,86.71918055555554,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,24,78.65314814814815,72.59768055555556,85.16762500000002,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,25,78.23648148148148,71.06198611111111,85.60436574074075,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,26,79.81055555555557,73.0900787037037,86.99290277777777,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,27,78.83833333333332,72.75470833333333,85.47314814814814,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,28,80.13462962962963,73.39796296296296,87.74676851851852,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,29,79.11611111111111,72.82202314814815,85.87333333333332,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reputation,30,79.53277777777778,73.14195370370369,86.53945833333334,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,1,35.505,24.28209722222222,50.813944444444445,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,2,33.004999999999995,20.631027777777778,48.401111111111106,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,3,36.33833333333333,22.930999999999997,51.12519444444446,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,4,28.282777777777778,13.528416666666669,47.36681944444446,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,5,33.83833333333334,20.792736111111108,50.324999999999996,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,6,33.63,20.948277777777776,50.14406944444444,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,7,32.449444444444445,18.3595,49.86534722222221,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,8,32.31055555555556,19.856055555555553,49.32325,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,9,30.782777777777778,17.187055555555556,48.685319444444445,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,10,33.56055555555555,20.284236111111113,50.20713888888888,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,11,30.852222222222224,16.524152777777775,49.08979166666667,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
TG,sender,reward,12,33.49111111111111,21.039430555555555,50.23779166666666,6,4000,two-stage model/run percentile bootstrap; fixed overall RQ1 baseline
