game,mechanism,model,delta_cooperation_pp,cooperation_definition,baseline_welfare_normalized_pp,treatment_welfare_normalized_pp,delta_net_welfare_normalized_pp,treatment_welfare_sd_pp,n_runs,baseline_welfare_method,treatment_payoff_equality_level,delta_equality,delta_equality_note
PD,punishment,Claude-Opus-4-6,0.0,cooperation,100.0,100.0,0.0,0.0,3,PD independence reconstruction from marginal cooperation,0.845949074074074,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,punishment,GLM-5.1,1.25,cooperation,0.0,1.875,1.875,1.0825317547305484,3,PD independence reconstruction from marginal cooperation,0.8367871840094064,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,punishment,GPT-5.4,0.0,cooperation,0.0,0.0,0.0,0.0,3,PD independence reconstruction from marginal cooperation,0.846412037037037,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,punishment,Gemini-3.1-Pro-Preview,4.306666666666666,cooperation,7.171902000000001,12.916666666666666,5.744764666666665,6.260408000548633,3,PD independence reconstruction from marginal cooperation,0.7728029897464412,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,punishment,Grok-4.3,36.111111111111114,cooperation,0.0,43.47222222222222,43.47222222222222,3.3224649205293586,3,PD independence reconstruction from marginal cooperation,0.7533143143728415,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,punishment,Kimi-K2.6,1.3888888888888886,cooperation,0.0,1.3888888888888886,1.3888888888888886,1.0276839296492184,3,PD independence reconstruction from marginal cooperation,0.8104027618079511,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reputation,Claude-Opus-4-6,0.0,cooperation,100.0,100.0,0.0,0.0,3,PD independence reconstruction from marginal cooperation,0.845949074074074,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reputation,GLM-5.1,6.25,cooperation,0.0,8.680555555555555,8.680555555555555,2.3965880453801938,3,PD independence reconstruction from marginal cooperation,0.7974158808111399,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reputation,GPT-5.4,0.1388888888888889,cooperation,0.0,0.20833333333333334,0.20833333333333334,0.3608439182435161,3,PD independence reconstruction from marginal cooperation,0.8443501371742114,,not identified: matched no-institution agent-level payoff baseline unavailable
PD,reputation,Gemini-3.1-Pro-Preview,95.14,cooperation,7.171902000000001,100.0,92.828098,0.0,3,PD independence reconstruction from marginal cooperation,0.845949074074074,,not identified: matched no-institution agent-level payoff baseline unavailable
